Country,Country_Code,Year,adult_literacy_rate,youth_literacy_male,youth_literacy_female,Region,illiteracy_rate,literacy_rate,gdp_per_capita,world_region,avg_years_schooling,Illiteracy_%,Literacy_Gender_Gap,GDP_per_Schooling_Year,Education_Index,Youth_Literacy_Average,Literacy_Growth_Rate
Bahrain,BHR,2022.0,97.87,99.38,98.95,Asia,2.1299973,97.87,57572.996,Asia,3.81328678151149,2.1299973,0.4299999999999926,15097.99794737167,50.84164339075575,99.16499999999999,11.320000000000007
Bahrain,BHR,2023.0,97.85,99.28,99.21,Asia,2.1500015,97.85,57819.906,Asia,3.81328678151149,2.1500015,0.07000000000000739,15162.747863689829,50.831643390755744,99.245,-0.020000000000010232
Bangladesh,BGD,1991.0,35.32,51.74,37.99,Asia,64.68,35.32,2101.3835,Asia,3.81328678151149,64.68,13.75,551.0688338963756,19.566643390755743,44.865,0.0
Bangladesh,BGD,2000.0,78.6647677888707,100.0,100.0,Asia,21.323384163270195,78.67661578438866,2712.935,Asia,4.77,21.323384163270195,0.0,568.7494758909853,41.72330789219433,100.0,43.35661578438866
Bangladesh,BGD,2001.0,47.49,67.16,60.26,Asia,52.51,47.49,2803.5547,Asia,3.81328678151149,52.51,6.899999999999999,735.2068859842591,25.651643390755744,63.709999999999994,-31.186615784388657
Bangladesh,BGD,2006.0,78.6647677888707,89.95973058304064,87.2,Asia,21.323384163270195,78.67661578438866,3407.4272,Asia,3.81328678151149,21.323384163270195,2.7597305830406356,893.566992265235,41.244951282950076,88.57986529152032,31.186615784388657
Bangladesh,BGD,2007.0,78.6647677888707,90.51,77.09,Asia,21.323384163270195,78.67661578438866,3608.9155,Asia,3.81328678151149,21.323384163270195,13.420000000000002,946.4054782078356,41.244951282950076,83.80000000000001,0.0
Bangladesh,BGD,2011.0,58.77,76.4,79.54,Asia,41.23,58.77,4352.4263,Asia,3.81328678151149,41.23,3.1400000000000006,1141.3844668338343,31.291643390755745,77.97,-19.906615784388656
Bangladesh,BGD,2012.0,57.86,76.28,79.37,Asia,42.14,57.86,4592.0483,Asia,3.81328678151149,42.14,3.0900000000000034,1204.2231710094013,30.836643390755746,77.825,-0.9100000000000037
Bangladesh,BGD,2013.0,61.02,84.09,86.93,Asia,38.98,61.02,4822.726,Asia,3.81328678151149,38.98,2.8400000000000034,1264.716313334397,32.416643390755745,85.51,3.1600000000000037
Bangladesh,BGD,2014.0,61.09,84.63,86.48,Asia,38.91,61.09,5068.6396,Asia,3.81328678151149,38.91,1.8500000000000085,1329.2049327564398,32.45164339075575,85.555,0.07000000000000028
Bangladesh,BGD,2015.0,65.14,86.19,89.54,Asia,34.86,65.14,5352.7114,Asia,6.76,34.86,3.3500000000000085,791.8212130177516,35.95,87.86500000000001,4.049999999999997
Bangladesh,BGD,2016.0,72.76,90.91,93.54,Asia,27.239998,72.76,5682.5356,Asia,3.81328678151149,27.239998,2.6300000000000097,1490.1936113358847,38.28664339075575,92.225,7.6200000000000045
Bangladesh,BGD,2017.0,72.89,91.54,94.38,Asia,27.11,72.89,6005.707,Asia,3.81328678151149,27.11,2.839999999999989,1574.9423906741918,38.35164339075575,92.96000000000001,0.12999999999999545
Bangladesh,BGD,2018.0,73.91,91.8,94.91,Asia,26.089996,73.91,6392.5933,Asia,3.81328678151149,26.089996,3.1099999999999994,1676.3998267830616,38.861643390755745,93.35499999999999,1.019999999999996
Bangladesh,BGD,2019.0,74.68,93.7,96.09,Asia,25.32,74.68,6838.326,Asia,3.81328678151149,25.32,2.3900000000000006,1793.289199531293,39.24664339075575,94.89500000000001,0.7700000000000102
Bangladesh,BGD,2020.0,74.91,93.16,95.86,Asia,25.089996,74.91,7015.1978,Asia,7.23,25.089996,2.700000000000003,970.290152143845,41.07,94.50999999999999,0.22999999999998977
Bangladesh,BGD,2021.0,76.36,93.76,95.86,Asia,23.64,76.36,7441.0693,Asia,3.81328678151149,23.64,2.0999999999999943,1951.3531833161915,40.08664339075575,94.81,1.4500000000000028
Bangladesh,BGD,2022.0,79.0,92.39,94.45,Asia,21.0,79.0,7888.164,Asia,3.81328678151149,21.0,2.0600000000000023,2068.599728256822,41.40664339075575,93.42,2.6400000000000006
Barbados,BRB,2012.0,78.6647677888707,100.0,100.0,North America,21.323384163270195,78.67661578438866,21286.332,North America,3.81328678151149,21.323384163270195,0.0,5582.148214817097,41.244951282950076,100.0,0.0
Belarus,BLR,1999.0,99.59,99.76,99.83,Europe,0.41000366,99.59,10519.749,Europe,3.81328678151149,0.41000366,0.06999999999999318,2758.709114406087,51.70164339075575,99.795,0.0
Belarus,BLR,2005.0,78.6647677888707,89.95973058304064,99.98,Europe,21.323384163270195,78.67661578438866,16579.873,Europe,3.81328678151149,21.323384163270195,10.020269416959366,4347.921871595548,41.244951282950076,94.96986529152032,-20.913384215611345
Belarus,BLR,2009.0,99.62,99.8,99.85,Europe,0.37999725,99.62,22236.838,Europe,3.81328678151149,0.37999725,0.04999999999999716,5831.40982414805,51.71664339075575,99.82499999999999,20.943384215611346
Belarus,BLR,2012.0,78.6647677888707,100.0,100.0,Europe,21.323384163270195,78.67661578438866,25879.133,Europe,3.81328678151149,21.323384163270195,0.0,6786.568774599788,41.244951282950076,100.0,-20.943384215611346
Belarus,BLR,2019.0,99.87,99.85,99.9,Europe,0.12999725,99.87,26798.82,Europe,3.81328678151149,0.12999725,0.05000000000001137,7027.74837967409,51.84164339075575,99.875,21.193384215611346
Belize,BLZ,1991.0,70.3,77.26,78.02,North America,29.699997,70.3,9028.073,North America,3.81328678151149,29.699997,0.7599999999999909,2367.5305628131914,37.056643390755745,77.64,0.0
Belize,BLZ,2000.0,76.9,83.9,84.54,North America,23.099998,76.9,11363.687,North America,10.19,23.099998,0.6400000000000006,1115.1802747791953,43.545,84.22,6.6000000000000085
Belize,BLZ,2006.0,78.6647677888707,89.95973058304064,95.13,North America,21.323384163270195,78.67661578438866,12912.53,North America,3.81328678151149,21.323384163270195,5.170269416959357,3386.1943094879957,41.244951282950076,92.54486529152032,1.7766157843886532
Belize,BLZ,2011.0,78.6647677888707,89.95973058304064,96.6,North America,21.323384163270195,78.67661578438866,11641.771,North America,3.81328678151149,21.323384163270195,6.640269416959356,3052.949244846856,41.244951282950076,93.27986529152031,0.0
